MARCA,CODIGO,NOME,PRECO,PRAZO DE ENTREGA,ESTOQUE,ESTADO,SKU,TIPO DE PECA
Ford,COD001,Filtro de Óleo,50.0,1 dias,0,Goiás,SKU001,Original
Chevrolet,COD002,Pastilha de Freio,65.75,2 dias,5,Minas Gerais,SKU002,Genuina
Toyota,COD003,Correia Dentada,81.5,3 dias,10,Goiás,SKU003,Verde
Honda,COD004,Vela de Ignição,97.25,4 dias,15,Minas Gerais,SKU004,Original
BMW,COD005,Bateria,113.0,5 dias,20,Goiás,SKU005,Genuina
Audi,COD006,Amortecedor,128.75,1 dias,25,Minas Gerais,SKU006,Verde
Volkswagen,COD007,Pneu,144.5,2 dias,30,Goiás,SKU007,Original
Nissan,COD008,Filtro de Ar,160.25,3 dias,35,Minas Gerais,SKU008,Genuina
Hyundai,COD009,Filtro de Combustível,176.0,4 dias,40,Goiás,SKU009,Verde
Kia,COD010,Radiador,191.75,5 dias,45,Minas Gerais,SKU010,Original
Mercedes-Benz,COD011,Bomba de Combustível,207.5,1 dias,50,Goiás,SKU011,Genuina
Subaru,COD012,Alternador,223.25,2 dias,55,Minas Gerais,SKU012,Verde
Mazda,COD013,Disco de Freio,239.0,3 dias,60,Goiás,SKU013,Original
Lexus,COD014,Velas de Ignição,254.75,4 dias,65,Minas Gerais,SKU014,Genuina
Jeep,COD015,Sensor de Oxigênio,270.5,5 dias,70,Goiás,SKU015,Verde
Dodge,COD016,Filtro de Cabine,286.25,1 dias,75,Minas Gerais,SKU016,Original
Tesla,COD017,Câmbio Automático,302.0,2 dias,80,Goiás,SKU017,Genuina
Volvo,COD018,Motor,317.75,3 dias,85,Minas Gerais,SKU018,Verde
Jaguar,COD019,Embreagem,333.5,4 dias,90,Goiás,SKU019,Original
Land Rover,COD020,Suspensão,349.25,5 dias,95,Minas Gerais,SKU020,Genuina
